dispatch_beat,total_noise_dispatches,estimated_dispatch_waste_usd
K3,386,57900
U1,342,51300
N3,320,48000
E2,303,45450
E1,289,43350
B1,264,39600
L3,250,37500
U3,239,35850
E3,237,35550
Q3,233,34950
N2,232,34800
S3,231,34650
G1,231,34650
U2,231,34650
D1,228,34200
W2,227,34050
R3,223,33450
R2,220,33000
S2,216,32400
R1,215,32250
L2,208,31200
G2,206,30900
W1,202,30300
B2,197,29550
D2,192,28800
L1,190,28500
K2,174,26100
D3,174,26100
M1,173,25950
N1,163,24450
C1,154,23100
J3,152,22800
F1,151,22650
Q2,144,21600
S1,137,20550
J1,133,19950
C2,129,19350
G3,129,19350
F2,127,19050
F3,126,18900
B3,123,18450
M3,118,17700
C3,118,17700
W3,102,15300
K1,101,15150
Q1,93,13950
M2,86,12900
J2,86,12900
O1,81,12150
O3,63,9450
O2,61,9150
COMM,2,300
99,2,300
NP,1,150
HS,1,150
