PIN,DocumentDate,SalePrice,SqFtTotLiving,NbrLivingUnits,YrBuilt,CurrentZoning,beat,total_noise_dispatches,estimated_dispatch_waste_usd
3348401430,2026-03-10,475000,1300,1,1911,NR1,S3,189,28350
6145600360,2026-03-10,710000,1360,1,1911,NR3,N3,225,33750
7338401740,2026-03-09,350000,860,1,1931,NR3,S1,221,33150
4364700365,2026-03-09,810000,1650,1,1916,NR2,F2,153,22950
3086002825,2026-03-09,615000,1050,1,1907,RSL(M),R1,217,32550
3644100031,2026-03-09,719000,1060,1,1921,LR1(M),G3,123,18450
8816400817,2026-03-09,720000,1320,1,2020,LR2,U1,230,34500
6300000240,2026-03-09,550000,1930,1,1920,LR1(M1),N3,225,33750
4358700121,2026-03-09,720000,1450,1,1940,NR2,N3,225,33750
7129300850,2026-03-08,715000,2660,2,1976,NR3,S3,189,28350
9191200435,2026-03-07,842500,1450,1,1925,NR3,U3,190,28500
1766600050,2026-03-07,830000,1190,1,1948,NR3,R3,178,26700
3424049083,2026-03-07,525000,1810,1,1957,NR3,S1,221,33150
5332200027,2026-03-06,819000,1360,1,1997,LR2(M),C3,127,19050
2895600435,2026-03-06,752000,1550,1,1952,NR3,W3,109,16350
2414600066,2026-03-06,810000,1780,1,1960,R12,99,1,150
2414600066,2026-03-06,810000,1780,1,1960,R12,99,1,150
4310703027,2026-03-06,660000,1400,1,2008,LR3(M),N3,225,33750
5101400659,2026-03-06,620000,820,1,1942,NR3,U1,230,34500
6384500415,2026-03-06,649553,2280,1,1952,NR3,W2,329,49350
5370200300,2026-03-06,475000,940,1,1921,NR3,F3,259,38850
4060000405,2026-03-06,593000,1060,1,1945,NR3,S3,189,28350
5699400080,2026-03-06,488900,1260,1,2024,LR3,R2,298,44700
4363700075,2026-03-06,844000,1800,1,1925,NR2,F2,153,22950
9212900585,2026-03-06,830000,1270,1,1942,NR3,U3,190,28500
7812800260,2026-03-06,430000,810,1,1944,R6,99,1,150
7177800180,2026-03-06,745000,680,1,1927,NR3,U1,230,34500
1972201373,2026-03-05,718000,1060,1,2024,LR3(M1),B2,126,18900
5649600228,2026-03-05,725000,1300,1,2017,LR2(M),R3,178,26700
3438503195,2026-03-05,465000,660,1,1942,NR3,F1,153,22950
8165501070,2026-03-05,24000,1550,1,2010,LR1(M),F1,153,22950
4365700240,2026-03-05,750000,1450,1,1958,RSL(M),F2,153,22950
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2660500365,2026-03-05,655000,1000,1,2025,RSL(M),R3,178,26700
2114700199,2026-03-05,152000,1260,1,2005,LR2(M),F3,259,38850
0826000230,2026-03-05,786500,1350,1,2025,LR1(M1),W3,109,16350
6933600515,2026-03-05,755000,720,1,1904,NR3,Q1,107,16050
3319502156,2026-03-05,674000,1560,1,2015,LR3RC(M),G3,123,18450
1926049172,2026-03-05,751000,1000,1,1943,NR2,N1,157,23550
0393000260,2026-03-05,833000,2470,1,1961,NR3,S3,189,28350
6371000067,2026-03-05,657440,780,1,1923,LR3(M),W1,248,37200
6056100583,2026-03-05,770000,1510,1,2006,LR3(M),R2,298,44700
3330500531,2026-03-04,777500,1170,1,1954,NR3,R3,178,26700
2767604432,2026-03-04,830000,1430,1,2007,LR3(M),B1,211,31650
0767000040,2026-03-03,550000,1270,1,1956,NR2,N1,157,23550
4154304631,2026-03-03,799000,1320,1,2025,NC140(M),R3,178,26700
7883605215,2026-03-03,315500,1250,1,1984,RSL(M),F3,259,38850
1109000355,2026-03-02,727000,1030,1,1909,NR3,S2,171,25650
8901000664,2026-03-02,699995,1080,1,2025,NR2,L1,179,26850
8901000664,2026-03-02,699995,1080,1,2025,NR2,L1,179,26850
0924000020,2026-03-02,820000,1020,1,1941,NR2,N1,157,23550
2862101210,2026-03-02,740000,1200,1,1979,NR3,U1,230,34500
3732800241,2026-03-02,245000,1900,1,1940,NR3,R1,217,32550
6453300318,2026-03-01,600000,1780,1,1944,NR2,F3,259,38850
3086003490,2026-02-28,655000,1410,1,1925,RSL(M),R1,217,32550
4154304145,2026-02-27,640000,1470,1,1951,NR3,R3,178,26700
9528101547,2026-02-27,779900,1200,1,2019,LR3(M),J3,89,13350
4092302133,2026-02-27,605000,1220,1,2008,MR(M1),U2,264,39600
2724049198,2026-02-27,642000,1530,1,2021,LR1(M1),S2,171,25650
7519000123,2026-02-27,695000,1020,1,2025,LR2(M),J2,90,13500
4310700417,2026-02-27,749000,1540,1,2019,LR2(M),N3,225,33750
2920700070,2026-02-27,600000,880,1,1920,NR3,J1,141,21150
5100401085,2026-02-27,845625,2230,1,1926,NR3,L2,118,17700
2114700670,2026-02-26,510000,640,1,1927,NR3,F3,259,38850
5220300165,2026-02-26,640000,820,1,1948,NR1,99,1,150
5220300165,2026-02-26,640000,820,1,1948,NR1,99,1,150
7187000010,2026-02-26,564000,1400,1,2018,LR3(M),S1,221,33150
7589200132,2026-02-26,715000,1430,1,2017,LR2RC(M),J2,90,13500
3278602580,2026-02-26,645000,1750,1,2007,LR3(M),F1,153,22950
2770601960,2026-02-26,750000,1840,2,1914,NR3,Q1,107,16050
6140600115,2026-02-26,575000,860,1,1928,NR2,N1,157,23550
1024039021,2026-02-26,800000,1420,2,1920,LR1(M),W1,248,37200
3226049085,2026-02-26,840000,1230,1,1927,NR3,L2,118,17700
2492200400,2026-02-25,679950,1740,1,2025,NR3,W3,109,16350
2492200400,2026-02-25,679950,1740,1,2025,NR3,W3,109,16350
2492200400,2026-02-25,679950,1740,1,2025,NR3,W3,109,16350
2254502034,2026-02-25,799000,1520,1,2025,LR1(M),G2,229,34350
7904700034,2026-02-25,775000,1350,1,2006,LR2(M),W2,329,49350
7234601371,2026-02-25,849950,1570,1,2014,LR1(M),C3,127,19050
0993000305,2026-02-25,600000,1370,1,2006,LR2(M),N3,225,33750
1594600205,2026-02-25,520000,600,1,1924,RSL(M),R2,298,44700
5309100805,2026-02-25,664312,1140,1,2025,NR3,J2,90,13500
5309100805,2026-02-25,664312,1140,1,2025,NR3,J2,90,13500
5309100805,2026-02-25,664312,1140,1,2025,NR3,J2,90,13500
7234601434,2026-02-25,765000,1290,1,2023,LR1(M),C3,127,19050
7588700215,2026-02-25,612000,1160,1,2024,LR2(M1),J2,90,13500
9266700073,2026-02-25,539950,1250,1,2023,LR1(M1),N3,225,33750
7568700400,2026-02-24,650000,700,1,1941,MUR70,99,1,150
9116000010,2026-02-24,844240,2180,2,1955,LR1(M),W3,109,16350
9116000010,2026-02-24,844240,2180,2,1955,LR1(M),W3,109,16350
6450304651,2026-02-24,530000,1500,1,1952,RSL(M),N2,246,36900
7950302138,2026-02-24,565000,1170,1,2019,LR3(M),R3,178,26700
3448000240,2026-02-24,560000,850,1,1931,NR2,L1,179,26850
7987400570,2026-02-24,700000,3960,1,2007,NR3,W1,248,37200
1306300040,2026-02-24,720000,900,1,1942,NR3,N1,157,23550
6056100246,2026-02-24,632500,1400,1,2007,LR2(M),R2,298,44700
5609000045,2026-02-24,825000,2260,1,1990,NR3,R2,298,44700
2771601345,2026-02-24,550000,1670,2,1904,LR3(M),Q2,110,16500
7883608566,2026-02-24,700000,720,1,1935,RSL(M),F3,259,38850
7883608567,2026-02-24,700000,620,1,1926,RSL(M),F3,259,38850
8165500140,2026-02-24,595000,1750,1,2008,LR1(M),F1,153,22950
7883601360,2026-02-24,590000,1440,1,2007,RSL(M),F3,259,38850
0832000170,2026-02-24,825000,1720,2,1947,RSL(M),N1,157,23550
0832000170,2026-02-24,825000,1720,2,1947,RSL(M),N1,157,23550
3395071410,2026-02-24,800000,1720,1,2005,LR3(M),S1,221,33150
5699400150,2026-02-23,578900,1260,1,2024,LR3,R2,298,44700
1725800075,2026-02-23,725000,2100,1,1948,NR3,W2,329,49350
1725800075,2026-02-23,725000,2100,1,1948,NR3,W2,329,49350
6821102035,2026-02-23,835000,990,1,1942,NR3,Q1,107,16050
2113701165,2026-02-23,475000,740,1,1943,NR3,F3,259,38850
2138800050,2026-02-23,840000,1840,1,1962,NR2,99,1,150
9221400257,2026-02-23,750000,1280,1,2020,NC175(M2),U1,230,34500
1714900615,2026-02-23,799950,1800,1,2012,NR3,O3,51,7650
9241900248,2026-02-23,652000,1120,1,1931,NR3,Q1,107,16050
7625701545,2026-02-23,725000,810,1,1919,NR3,W2,329,49350
3645100194,2026-02-23,652500,1530,1,2017,LR2(M),N1,157,23550
2887700490,2026-02-22,790000,1300,1,1929,NR3,L2,118,17700
9839300230,2026-02-22,660000,2180,2,1901,NR3,C3,127,19050
9839300230,2026-02-22,660000,2180,2,1901,NR3,C3,127,19050
6381501900,2026-02-20,765000,1240,1,1950,NR2,L1,179,26850
2767600395,2026-02-20,849500,1810,1,2024,LR1(M),B1,211,31650
3126049451,2026-02-20,720000,1380,1,2005,LR2(M),N3,225,33750
7812801175,2026-02-20,730000,1830,1,1944,R6,99,1,150
7518508170,2026-02-20,800000,1040,1,1942,NR3,J2,90,13500
9275701505,2026-02-20,400000,1100,1,1960,NR3,W1,248,37200
8820902205,2026-02-20,500000,600,1,1920,NR2,L3,167,25050
8820902205,2026-02-20,500000,600,1,1920,NR2,L3,167,25050
5157700046,2026-02-20,799000,1130,1,2024,NC130(M),C3,127,19050
7549801490,2026-02-20,685000,1000,1,1977,NR3,O3,51,7650
0223049108,2026-02-20,759000,1450,1,1955,NR3,S3,189,28350
7515000117,2026-02-20,710000,1480,1,2021,LR2(M1),J1,141,21150
9272201486,2026-02-19,820000,1570,1,2018,LR3(M),W1,248,37200
2492200505,2026-02-19,160000,900,1,1924,NR3,W3,109,16350
