PIN,SalePrice,SqFtTotLiving,NbrLivingUnits,YrBuilt,CurrentZoning,beat,total_noise_dispatches,estimated_dispatch_waste_usd,shadow_tax_penalty_usd,FEMA_Climate_Risk,Heavy_Freight_Zone
3348401430,475000,1300,1,1911,NR1,S3,189,28350,-2920.094536434281,69.22,0
6145600360,710000,1360,1,1911,NR3,N3,225,33750,-3476.303019564621,69.22,0
7338401740,350000,860,1,1931,NR3,S1,221,33150,-3414.502076994583,69.22,1
4364700365,810000,1650,1,1916,NR2,F2,153,22950,-2363.8860533039424,69.22,0
3086002825,615000,1050,1,1907,RSL(M),R1,217,32550,-3352.7011344245457,69.22,1
3644100031,719000,1060,1,1921,LR1(M),G3,123,18450,-1900.3789840286595,69.22,1
8816400817,720000,1320,1,2020,LR2,U1,230,34500,-3553.554197777168,69.22,1
6300000240,550000,1930,1,1920,LR1(M1),N3,225,33750,-3476.303019564621,69.22,0
4358700121,720000,1450,1,1940,NR2,N3,225,33750,-3476.303019564621,69.22,0
7129300850,715000,2660,2,1976,NR3,S3,189,28350,-2920.094536434281,69.22,0
9191200435,842500,1450,1,1925,NR3,U3,190,28500,-2935.544772076791,69.22,0
1766600050,830000,1190,1,1948,NR3,R3,178,26700,-2750.1419443666778,69.22,0
3424049083,525000,1810,1,1957,NR3,S1,221,33150,-3414.502076994583,69.22,0
5332200027,819000,1360,1,1997,LR2(M),C3,127,19050,-1962.1799265986967,69.22,0
2895600435,752000,1550,1,1952,NR3,W3,109,16350,-1684.0756850335274,69.22,0
2414600066,810000,1780,1,1960,R12,99,1,150,-15.450235642509426,69.22,0
4310703027,660000,1400,1,2008,LR3(M),N3,225,33750,-3476.303019564621,69.22,1
5101400659,620000,820,1,1942,NR3,U1,230,34500,-3553.554197777168,69.22,1
6384500415,649553,2280,1,1952,NR3,W2,329,49350,-5083.127526385601,69.22,0
5370200300,475000,940,1,1921,NR3,F3,259,38850,-4001.6110314099415,69.22,0
4060000405,593000,1060,1,1945,NR3,S3,189,28350,-2920.094536434281,69.22,0
5699400080,488900,1260,1,2024,LR3,R2,298,44700,-4604.170221467809,69.22,1
4363700075,844000,1800,1,1925,NR2,F2,153,22950,-2363.8860533039424,69.22,0
9212900585,830000,1270,1,1942,NR3,U3,190,28500,-2935.544772076791,69.22,0
7812800260,430000,810,1,1944,R6,99,1,150,-15.450235642509426,69.22,0
7177800180,745000,680,1,1927,NR3,U1,230,34500,-3553.554197777168,69.22,0
1972201373,718000,1060,1,2024,LR3(M1),B2,126,18900,-1946.729690956188,69.22,1
5649600228,725000,1300,1,2017,LR2(M),R3,178,26700,-2750.1419443666778,69.22,0
3438503195,465000,660,1,1942,NR3,F1,153,22950,-2363.8860533039424,69.22,0
8165501070,24000,1550,1,2010,LR1(M),F1,153,22950,-2363.8860533039424,69.22,0
4365700240,750000,1450,1,1958,RSL(M),F2,153,22950,-2363.8860533039424,69.22,0
2660500365,655000,1000,1,2025,RSL(M),R3,178,26700,-2750.1419443666778,69.22,0
2114700199,152000,1260,1,2005,LR2(M),F3,259,38850,-4001.6110314099415,69.22,0
6933600515,755000,720,1,1904,NR3,Q1,107,16050,-1653.175213748509,69.22,0
3319502156,674000,1560,1,2015,LR3RC(M),G3,123,18450,-1900.3789840286595,69.22,1
1926049172,751000,1000,1,1943,NR2,N1,157,23550,-2425.68699587398,69.22,0
6371000067,657440,780,1,1923,LR3(M),W1,248,37200,-3831.6584393423377,69.22,0
6056100583,770000,1510,1,2006,LR3(M),R2,298,44700,-4604.170221467809,69.22,0
3330500531,777500,1170,1,1954,NR3,R3,178,26700,-2750.1419443666778,69.22,0
2767604432,830000,1430,1,2007,LR3(M),B1,211,31650,-3259.999720569489,69.22,1
4154304631,799000,1320,1,2025,NC140(M),R3,178,26700,-2750.1419443666778,69.22,0
7883605215,315500,1250,1,1984,RSL(M),F3,259,38850,-4001.6110314099415,69.22,1
1109000355,727000,1030,1,1909,NR3,S2,171,25650,-2641.990294869112,69.22,1
8901000664,699995,1080,1,2025,NR2,L1,179,26850,-2765.592180009188,69.22,0
2862101210,740000,1200,1,1979,NR3,U1,230,34500,-3553.554197777168,69.22,1
3732800241,245000,1900,1,1940,NR3,R1,217,32550,-3352.7011344245457,69.22,0
6453300318,600000,1780,1,1944,NR2,F3,259,38850,-4001.6110314099415,69.22,1
3086003490,655000,1410,1,1925,RSL(M),R1,217,32550,-3352.7011344245457,69.22,0
4154304145,640000,1470,1,1951,NR3,R3,178,26700,-2750.1419443666778,69.22,0
9528101547,779900,1200,1,2019,LR3(M),J3,89,13350,-1375.0709721833389,69.22,1
4092302133,605000,1220,1,2008,MR(M1),U2,264,39600,-4078.862209622489,69.22,1
2724049198,642000,1530,1,2021,LR1(M1),S2,171,25650,-2641.990294869112,69.22,0
7519000123,695000,1020,1,2025,LR2(M),J2,90,13500,-1390.5212078258485,69.22,0
4310700417,749000,1540,1,2019,LR2(M),N3,225,33750,-3476.303019564621,69.22,0
2920700070,600000,880,1,1920,NR3,J1,141,21150,-2178.483225593829,69.22,1
5100401085,845625,2230,1,1926,NR3,L2,118,17700,-1823.1278058161124,69.22,0
2114700670,510000,640,1,1927,NR3,F3,259,38850,-4001.6110314099415,69.22,0
5220300165,640000,820,1,1948,NR1,99,1,150,-15.450235642509426,69.22,0
7187000010,564000,1400,1,2018,LR3(M),S1,221,33150,-3414.502076994583,69.22,0
7589200132,715000,1430,1,2017,LR2RC(M),J2,90,13500,-1390.5212078258485,69.22,1
3278602580,645000,1750,1,2007,LR3(M),F1,153,22950,-2363.8860533039424,69.22,0
2770601960,750000,1840,2,1914,NR3,Q1,107,16050,-1653.175213748509,69.22,0
6140600115,575000,860,1,1928,NR2,N1,157,23550,-2425.68699587398,69.22,0
1024039021,800000,1420,2,1920,LR1(M),W1,248,37200,-3831.6584393423377,69.22,0
3226049085,840000,1230,1,1927,NR3,L2,118,17700,-1823.1278058161124,69.22,1
2492200400,679950,1740,1,2025,NR3,W3,109,16350,-1684.0756850335274,69.22,0
2254502034,799000,1520,1,2025,LR1(M),G2,229,34350,-3538.1039621346586,69.22,0
7904700034,775000,1350,1,2006,LR2(M),W2,329,49350,-5083.127526385601,69.22,0
